athlete_id,rapm_margin,orapm,drapm,rapm,minutes,name,team_id,team,team_logo,position,headshot,games,box_minutes,season,low_sample,rank
4433730,16.520911768719138,6.602005573205766,5.85846901654687,12.460474589752636,484.6333333333333,Paige Bueckers,41,UConn,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,G,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/4433730.png,38,1147.0,2025,False,1
4433790,13.88878367285727,6.172652367775855,4.886851312643475,11.05950368041933,470.1333333333333,Azzi Fudd,41,UConn,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,G,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/4433790.png,34,897.0,2025,False,2
5239592,14.149333348006282,6.117855823181212,4.621783908093368,10.739639731274579,439.85,Sarah Strong,41,UConn,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,F,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5239592.png,40,1149.0,2025,False,3
5174493,9.844392346341465,7.379472268475181,1.5489776373908446,8.928449905866024,321.65,Ashlynn Shade,41,UConn,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,G,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5174493.png,40,894.0,2025,False,4
5239666,11.717486934194469,4.112829901058426,3.1671670379791586,7.279996939037584,300.05,Avery Howell,30,USC,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png,G,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5239666.png,35,730.0,2025,False,5
5242081,12.058069397662216,2.0165437136846056,5.122844582685811,7.1393882963704165,157.88333333333333,Madison Ruff,116,Mount St Marys,https://a.espncdn.com/i/teamlogos/ncaa/500/116.png,G,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5242081.png,29,573.0,2025,True,6
4899328,7.818680376561282,4.10477799823627,3.01117881345517,7.11595681169144,353.3,Kaitlyn Chen,41,UConn,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,G,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/4899328.png,40,934.0,2025,False,7
4433524,10.281146610130017,2.8665116419875356,4.223522655535446,7.0900342975229815,394.06666666666666,Sonia Citron,87,Notre Dame,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png,G,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/4433524.png,32,1087.0,2025,False,8
5174491,7.948635202893342,3.365229526554902,3.611931449588963,6.977160976143866,302.93333333333334,KK Arnold,41,UConn,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,G,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5174491.png,40,849.0,2025,False,9
4704875,10.053487823120316,2.7161390869620043,4.156698795553138,6.872837882515142,229.66666666666666,Sabria Dean,2320,Lamar,https://a.espncdn.com/i/teamlogos/ncaa/500/2320.png,G,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/4704875.png,29,958.0,2025,False,10
