athlete_id,rapm_margin,orapm,drapm,rapm,raw_off,raw_def,raw_net,tm_off,tm_def,tm_net,opp_off,opp_def,opp_net,minutes,name,team_id,team,team_logo,position,headshot,games,box_minutes,season,low_sample,rank
5239592,23.731869223338588,10.881883413914139,8.641717771205474,19.523601185119613,30.329551680741943,27.969362659256888,58.29891433999883,-22.457628807075103,-23.66348598061826,-46.12111478769336,8.482323480380163,10.825997945115027,19.30832142549519,1040.8333333333333,Sarah Strong,41,UConn,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,F,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5239592.png,38,1044.0,2026,False,1
5175792,24.474774107863308,9.237894340626191,8.94748746104819,18.18538180167438,24.6759369213907,15.94676282807815,40.62269974946885,-21.197446729271913,-16.568863717475935,-37.76631044674785,9.552868088548477,15.374811954263889,24.927680042812366,1261.9166666666667,Madison Booker,251,Texas,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,F,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5175792.png,39,1264.0,2026,False,2
4433790,20.90575162479422,8.413278345642134,9.008991236333813,17.422269581975947,28.603713538255278,27.777714375029802,56.38142791328508,-24.153667972290652,-22.739683173800955,-46.893351146091604,7.955435418107363,10.390940429577341,18.346375847684705,1119.0166666666667,Azzi Fudd,41,UConn,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,G,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/4433790.png,39,1123.0,2026,False,3
5239100,19.03421919263444,8.485028578730338,6.507707379907222,14.99273595863756,25.97972107291072,13.998451547871156,39.978172620781876,-25.388670512921628,-17.85393689039604,-43.24260740331766,11.109200979943418,14.852484256833861,25.961685236777278,1221.0333333333333,Joyce Edwards,2579,South Carolina,https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,F,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5239100.png,40,1221.0,2026,False,4
5174284,17.0549677660984,9.785670520029093,4.773548682603826,14.559219202632919,27.623285206324653,12.586016893685738,40.20930210001039,-25.356213515476473,-19.65381304152832,-45.01002655700479,11.77729256795587,15.621119375762603,27.39841194371847,1065.7166666666667,Tessa Johnson,2579,South Carolina,https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,G,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5174284.png,38,1069.0,2026,False,5
4898898,18.171812608029462,9.110778789796987,5.229201501628469,14.339980291425455,30.135863999745936,11.40760126858352,41.543465268329456,-26.702401196329028,-17.179707634848604,-43.88210883117763,10.484538655704796,15.888476350483622,26.373015006188417,1067.7,Gianna Kneepkens,26,UCLA,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,G,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/4898898.png,38,1072.0,2026,False,6
5174674,23.2703173907185,6.733276990741915,7.548099505271358,14.281376496013273,13.445864843133748,6.17194596804903,19.61781081118278,-13.92467665507748,-7.747945870699824,-21.672622525777303,9.062397943359297,13.402903861776695,22.465301805135994,1304.2,Hannah Hidalgo,87,Notre Dame,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png,G,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5174674.png,36,1307.0,2026,False,7
5108587,17.27093636773956,8.609759296953676,5.616033908921274,14.22579320587495,28.71747843099486,14.719717567504262,43.43719599849912,-26.89101254599901,-19.134845461458504,-46.025858007457515,11.342132388297708,14.941153496348997,26.283285884646705,905.0333333333333,Madina Okot,2579,South Carolina,https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,C,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5108587.png,39,906.0,2026,False,8
5239104,16.522141040028856,9.605877998011254,4.601793621770594,14.207671619781848,25.340941597727806,13.599094426107271,38.94003602383508,-21.061541241630607,-20.241752570676358,-41.30329381230696,9.42984716001764,15.196876362361639,24.62672352237928,1232.15,Jordan Lee,251,Texas,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,G,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5239104.png,39,1237.0,2026,False,9
5174493,16.194737580507237,5.3944253131336986,8.552235949317735,13.946661262451434,26.485292946064845,27.993566264464874,54.47885921052972,-25.48110565284951,-22.164305783227555,-47.64541143607707,7.033689845609634,9.09772964884287,16.131419494452505,1044.2333333333333,Ashlynn Shade,41,UConn,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,G,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5174493.png,39,1045.0,2026,False,10
